Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,7/31/2015,5263,555,1,1,0,1
2,5,7/31/2015,6064,625,1,1,0,1
3,5,7/31/2015,8314,821,1,1,0,1
4,5,7/31/2015,13995,1498,1,1,0,1
5,5,7/31/2015,4822,559,1,1,0,1
6,5,7/31/2015,5651,589,1,1,0,1
7,5,7/31/2015,15344,1414,1,1,0,1
8,5,7/31/2015,8492,833,1,1,0,1
9,5,7/31/2015,8565,687,1,1,0,1
10,5,7/31/2015,7185,681,1,1,0,1
11,5,7/31/2015,10457,1236,1,1,0,1
12,5,7/31/2015,8959,962,1,1,0,1
13,5,7/31/2015,8821,568,1,1,0,0
14,5,7/31/2015,6544,710,1,1,0,1
15,5,7/31/2015,9191,766,1,1,0,1
16,5,7/31/2015,10231,979,1,1,0,1
17,5,7/31/2015,8430,946,1,1,0,1
18,5,7/31/2015,10071,936,1,1,0,1
19,5,7/31/2015,8234,718,1,1,0,1
20,5,7/31/2015,9593,974,1,1,0,0
21,5,7/31/2015,9515,682,1,1,0,1
22,5,7/31/2015,6566,633,1,1,0,0
23,5,7/31/2015,7273,560,1,1,0,1
24,5,7/31/2015,14190,1082,1,1,0,1
25,5,7/31/2015,14180,1586,1,1,0,1
26,5,7/31/2015,7818,611,1,1,0,1
27,5,7/31/2015,13213,1263,1,1,0,1
28,5,7/31/2015,7301,663,1,1,0,1
29,5,7/31/2015,9411,737,1,1,0,1
30,5,7/31/2015,4776,625,1,1,0,1
31,5,7/31/2015,7248,645,1,1,0,1
32,5,7/31/2015,6395,635,1,1,0,0
33,5,7/31/2015,10789,915,1,1,0,1
34,5,7/31/2015,11144,1162,1,1,0,1
35,5,7/31/2015,12412,777,1,1,0,1
36,5,7/31/2015,12422,1251,1,1,0,0
37,5,7/31/2015,9091,888,1,1,0,1
38,5,7/31/2015,7434,608,1,1,0,1
39,5,7/31/2015,8336,929,1,1,0,1
40,5,7/31/2015,5464,678,1,1,0,1
41,5,7/31/2015,6938,494,1,1,0,0
42,5,7/31/2015,11946,1235,1,1,0,1
43,5,7/31/2015,8096,683,1,1,0,1
44,5,7/31/2015,6670,665,1,1,0,1
45,5,7/31/2015,6301,442,1,1,0,1
46,5,7/31/2015,7628,775,1,1,0,0
47,5,7/31/2015,9379,1021,1,1,0,1
48,5,7/31/2015,3874,390,1,1,0,1
49,5,7/31/2015,10310,666,1,1,0,1
50,5,7/31/2015,5729,441,1,1,0,1
51,5,7/31/2015,9198,610,1,1,0,0
52,5,7/31/2015,8031,527,1,1,0,0
53,5,7/31/2015,7540,690,1,1,0,1
54,5,7/31/2015,10732,889,1,1,0,1
55,5,7/31/2015,6096,673,1,1,0,1
56,5,7/31/2015,10022,619,1,1,0,1
57,5,7/31/2015,11594,1025,1,1,0,1
58,5,7/31/2015,8581,603,1,1,0,0
59,5,7/31/2015,7148,628,1,1,0,1
60,5,7/31/2015,9762,776,1,1,0,1
61,5,7/31/2015,5572,665,1,1,0,1
62,5,7/31/2015,7495,772,1,1,0,1
63,5,7/31/2015,11525,846,1,1,0,1
64,5,7/31/2015,13251,935,1,1,0,1
65,5,7/31/2015,7156,561,1,1,0,1
66,5,7/31/2015,8306,636,1,1,0,1
67,5,7/31/2015,11035,912,1,1,0,1
68,5,7/31/2015,11187,1341,1,1,0,1
69,5,7/31/2015,11204,1371,1,1,0,1
70,5,7/31/2015,8613,741,1,1,0,1
71,5,7/31/2015,11545,869,1,1,0,1
72,5,7/31/2015,5251,520,1,1,0,0
73,5,7/31/2015,6026,537,1,1,0,1
74,5,7/31/2015,7518,929,1,1,0,1
75,5,7/31/2015,7444,807,1,1,0,1
76,5,7/31/2015,12887,1228,1,1,0,0
77,5,7/31/2015,10335,780,1,1,0,1
78,5,7/31/2015,5712,610,1,1,0,1
79,5,7/31/2015,7150,643,1,1,0,1
80,5,7/31/2015,9810,675,1,1,0,1
81,5,7/31/2015,9279,640,1,1,0,0
82,5,7/31/2015,11492,1035,1,1,0,1
83,5,7/31/2015,3866,327,1,1,0,1
84,5,7/31/2015,14949,1439,1,1,0,1
85,5,7/31/2015,7791,971,1,1,0,1
86,5,7/31/2015,5572,678,1,1,0,1
87,5,7/31/2015,6379,715,1,1,0,1
88,5,7/31/2015,7863,776,1,1,0,1
89,5,7/31/2015,7295,716,1,1,0,0
90,5,7/31/2015,11495,1295,1,1,0,1
91,5,7/31/2015,6164,554,1,1,0,1
92,5,7/31/2015,8227,701,1,1,0,1
93,5,7/31/2015,6548,715,1,1,0,1
94,5,7/31/2015,8372,694,1,1,0,1
95,5,7/31/2015,8445,920,1,1,0,1
96,5,7/31/2015,6370,612,1,1,0,1
97,5,7/31/2015,8380,802,1,1,0,1
98,5,7/31/2015,7012,512,1,1,0,1
99,5,7/31/2015,6571,507,1,1,0,0
100,5,7/31/2015,10280,764,1,1,0,0
1,4,7/30/2015,5020,546,1,1,0,1
2,4,7/30/2015,5567,601,1,1,0,1
3,4,7/30/2015,8977,823,1,1,0,1
